iter	Passed	Remaining
0	61	61631
1	61	30901
2	62	20651
3	62	15523
4	62	12446
5	62	10394
6	62	8928
7	63	7829
8	63	6973
9	63	6290
10	63	5733
11	64	5271
12	64	4880
13	64	4541
14	64	4247
15	64	3989
16	65	3763
17	65	3560
18	65	3379
19	65	3217
20	65	3071
21	66	2939
22	66	2819
23	66	2707
24	66	2605
25	67	2510
26	67	2423
27	67	2343
28	67	2266
29	67	2195
30	68	2128
31	68	2066
32	68	2008
33	68	1954
34	68	1901
35	69	1852
36	69	1806
37	69	1762
38	69	1721
39	70	1681
40	70	1644
41	70	1608
42	70	1573
43	70	1539
44	71	1507
45	71	1477
46	71	1448
47	71	1420
48	71	1394
49	72	1368
50	72	1343
51	72	1319
52	72	1297
53	72	1276
54	73	1255
55	73	1236
56	73	1216
57	73	1196
58	73	1178
59	74	1160
60	74	1143
61	74	1127
62	74	1111
63	74	1096
64	75	1080
65	75	1066
66	75	1051
67	75	1035
68	75	1022
69	75	1008
70	76	996
71	76	983
72	76	971
73	76	959
74	76	948
75	77	936
76	77	925
77	77	915
78	77	905
79	77	894
80	78	885
81	78	875
82	78	866
83	78	856
84	78	846
85	78	837
86	78	828
87	79	819
88	79	811
89	79	803
90	79	795
91	79	788
92	80	781
93	80	774
94	80	766
95	80	759
96	80	752
97	81	745
98	81	739
99	81	732
100	81	726
101	81	718
102	81	712
103	82	706
104	82	700
105	82	694
106	82	689
107	82	683
108	82	678
109	83	672
110	83	667
111	83	662
112	83	657
113	83	652
114	84	648
115	84	642
116	84	638
117	84	633
118	84	628
119	85	623
120	85	618
121	85	614
122	85	609
123	85	605
124	85	600
125	86	596
126	86	592
127	86	588
128	86	584
129	86	580
130	86	577
131	87	573
132	87	569
133	87	565
134	87	562
135	87	558
136	88	554
137	88	551
138	88	547
139	88	544
140	88	540
141	88	537
142	89	534
143	89	531
144	89	527
145	89	524
146	89	521
147	90	518
148	90	515
149	90	512
150	90	509
151	90	506
152	91	503
153	91	501
154	91	498
155	91	495
156	91	492
157	91	489
158	92	487
159	92	484
160	92	482
161	92	479
162	92	476
163	93	474
164	93	471
165	93	469
166	93	466
167	93	464
168	93	461
169	94	459
170	94	457
171	94	455
172	94	452
173	94	450
174	95	448
175	95	445
176	95	443
177	95	441
178	95	439
179	95	437
180	96	434
181	96	432
182	96	430
183	96	428
184	96	426
185	96	424
186	97	422
187	97	420
188	97	418
189	97	416
190	97	414
191	98	412
192	98	410
193	98	408
194	98	406
195	98	405
196	98	403
197	99	401
198	99	399
199	99	398
200	99	396
201	99	394
202	100	392
203	100	391
204	100	389
205	100	387
206	100	386
207	100	384
208	101	382
209	101	381
210	101	379
211	101	377
212	101	376
213	102	374
214	102	373
215	102	371
216	102	370
217	102	368
218	102	367
219	103	365
220	103	364
221	103	362
222	103	361
223	103	359
224	103	358
225	104	356
226	104	355
227	104	353
228	104	352
229	104	351
230	105	349
231	105	348
232	105	347
233	105	345
234	105	344
235	105	343
236	106	341
237	106	340
238	106	339
239	106	337
240	106	336
241	107	335
242	107	334
243	107	332
244	107	331
245	107	330
246	107	329
247	108	327
248	108	326
249	108	325
250	108	324
251	108	323
252	109	321
253	109	320
254	109	319
255	109	318
256	109	317
257	109	316
258	110	315
259	110	313
260	110	312
261	110	311
262	110	310
263	110	309
264	111	308
265	111	307
266	111	306
267	111	305
268	111	304
269	112	302
270	112	301
271	112	300
272	112	299
273	112	298
274	112	297
275	113	296
276	113	295
277	113	294
278	113	293
279	113	292
280	114	291
281	114	290
282	114	289
283	114	288
284	114	287
285	114	286
286	115	286
287	115	285
288	115	284
289	115	283
290	115	282
291	116	281
292	116	280
293	116	279
294	116	278
295	116	277
296	116	276
297	117	276
298	117	275
299	117	274
300	117	273
301	117	272
302	118	271
303	118	270
304	118	269
305	118	268
306	118	268
307	118	267
308	119	266
309	119	265
310	119	264
311	119	263
312	119	263
313	120	262
314	120	261
315	120	260
316	120	259
317	120	258
318	120	258
319	121	257
320	121	256
321	121	255
322	121	254
323	121	254
324	122	253
325	122	252
326	122	251
327	122	251
328	122	250
329	122	249
330	123	248
331	123	248
332	123	247
333	123	246
334	123	245
335	124	245
336	124	244
337	124	243
338	124	242
339	124	242
340	124	241
341	125	240
342	125	240
343	125	239
344	125	238
345	125	238
346	126	237
347	126	236
348	126	236
349	126	235
350	127	234
351	127	234
352	127	233
353	127	232
354	127	232
355	128	231
356	128	230
357	128	230
358	128	229
359	128	228
360	128	228
361	129	227
362	129	226
363	129	226
364	129	225
365	129	224
366	129	224
367	130	223
368	130	222
369	130	222
370	130	221
371	130	221
372	131	220
373	131	219
374	131	219
375	131	218
376	131	217
377	132	217
378	132	216
379	132	215
380	132	215
381	132	214
382	132	214
383	133	213
384	133	212
385	133	212
386	133	211
387	133	211
388	134	210
389	134	209
390	134	209
391	134	208
392	134	208
393	134	207
394	135	206
395	135	206
396	135	205
397	135	205
398	135	204
399	136	204
400	136	203
401	136	202
402	136	202
403	136	201
404	136	201
405	137	200
406	137	200
407	137	199
408	137	198
409	137	198
410	138	197
411	138	197
412	138	196
413	138	196
414	138	195
415	138	195
416	139	194
417	139	194
418	139	193
419	139	192
420	139	192
421	140	191
422	140	191
423	140	190
424	140	190
425	140	189
426	141	189
427	141	188
428	141	188
429	141	187
430	141	187
431	141	186
432	142	186
433	142	185
434	142	185
435	142	184
436	142	184
437	143	183
438	143	183
439	143	182
440	143	182
441	143	181
442	143	181
443	144	180
444	144	180
445	144	179
446	144	179
447	144	178
448	145	178
449	145	177
450	145	177
451	145	176
452	145	176
453	145	175
454	146	175
455	146	174
456	146	174
457	146	173
458	146	173
459	147	172
460	147	172
461	147	171
462	147	171
463	147	170
464	148	170
465	148	169
466	148	169
467	148	168
468	148	168
469	149	168
470	149	167
471	149	167
472	149	166
473	149	166
474	149	165
475	150	165
476	150	164
477	150	164
478	150	163
479	150	163
480	151	163
481	151	162
482	151	162
483	151	161
484	151	161
485	151	160
486	152	160
487	152	159
488	152	159
489	152	158
490	152	158
491	153	158
492	153	157
493	153	157
494	153	156
495	153	156
496	153	155
497	154	155
498	154	154
499	154	154
500	154	154
501	154	153
502	155	153
503	155	152
504	155	152
505	155	151
506	155	151
507	155	151
508	156	150
509	156	150
510	156	149
511	156	149
512	156	148
513	157	148
514	157	148
515	157	147
516	157	147
517	157	146
518	157	146
519	158	145
520	158	145
521	158	145
522	158	144
523	158	144
524	159	143
525	159	143
526	159	143
527	159	142
528	159	142
529	159	141
530	160	141
531	160	140
532	160	140
533	160	140
534	160	139
535	160	139
536	161	138
537	161	138
538	161	138
539	161	137
540	161	137
541	162	136
542	162	136
543	162	136
544	162	135
545	162	135
546	162	134
547	163	134
548	163	134
549	163	133
550	163	133
551	163	132
552	163	132
553	164	132
554	164	131
555	164	131
556	164	130
557	164	130
558	164	130
559	165	129
560	165	129
561	165	129
562	165	128
563	165	128
564	166	127
565	166	127
566	166	127
567	166	126
568	166	126
569	167	125
570	167	125
571	167	125
572	167	124
573	167	124
574	167	124
575	168	123
576	168	123
577	168	123
578	168	122
579	168	122
580	169	121
581	169	121
582	169	121
583	169	120
584	169	120
585	169	120
586	170	119
587	170	119
588	170	118
589	170	118
590	170	118
591	171	117
592	171	117
593	171	117
594	171	116
595	171	116
596	172	116
597	172	115
598	172	115
599	172	115
600	172	114
601	172	114
602	173	113
603	173	113
604	173	113
605	173	112
606	173	112
607	174	112
608	174	111
609	174	111
610	174	111
611	174	110
612	174	110
613	175	110
614	175	109
615	175	109
616	175	109
617	175	108
618	176	108
619	176	108
620	176	107
621	176	107
622	176	106
623	176	106
624	177	106
625	177	105
626	177	105
627	177	105
628	177	104
629	178	104
630	178	104
631	178	103
632	178	103
633	178	103
634	178	102
635	179	102
636	179	102
637	179	101
638	179	101
639	179	101
640	180	100
641	180	100
642	180	100
643	180	99
644	180	99
645	180	99
646	181	98
