iter	Passed	Remaining
0	62	62486
1	62	31331
2	62	20935
3	63	15739
4	63	12626
5	63	10553
6	63	9068
7	64	7953
8	64	7086
9	64	6395
10	64	5828
11	65	5354
12	65	4954
13	65	4610
14	65	4312
15	65	4051
16	66	3821
17	66	3616
18	66	3434
19	66	3270
20	66	3121
21	67	2985
22	67	2862
23	67	2748
24	67	2644
25	68	2548
26	68	2458
27	68	2375
28	68	2298
29	68	2226
30	69	2160
31	69	2096
32	69	2036
33	69	1980
34	69	1927
35	70	1877
36	70	1830
37	70	1785
38	70	1743
39	70	1702
40	71	1664
41	71	1627
42	71	1592
43	71	1559
44	71	1527
45	72	1497
46	72	1468
47	72	1440
48	72	1413
49	73	1387
50	73	1363
51	73	1339
52	73	1316
53	73	1293
54	74	1272
55	74	1251
56	74	1232
57	74	1212
58	74	1193
59	75	1175
60	75	1158
61	75	1141
62	75	1125
63	75	1109
64	76	1093
65	76	1078
66	76	1064
67	76	1050
68	76	1036
69	77	1023
70	77	1010
71	77	998
72	77	985
73	77	973
74	78	962
75	78	950
76	78	939
77	78	929
78	78	918
79	78	908
80	79	898
81	79	889
82	79	878
83	79	869
84	79	860
85	80	851
86	80	843
87	80	834
88	80	826
89	80	818
90	81	810
91	81	802
92	81	794
93	81	787
94	81	780
95	82	772
96	82	765
97	82	758
98	82	752
99	82	745
100	83	738
101	83	732
102	83	726
103	83	720
104	83	714
105	83	708
106	84	702
107	84	696
108	84	690
109	84	685
110	84	679
111	85	674
112	85	669
113	85	664
114	85	659
115	85	654
116	86	649
117	86	644
118	86	639
119	86	635
120	86	630
121	86	625
122	87	621
123	87	617
124	87	612
125	87	608
126	87	604
127	88	599
128	88	595
129	88	591
130	88	588
131	88	584
132	89	580
133	89	576
134	89	573
135	89	569
136	89	565
137	89	562
138	90	558
139	90	555
140	90	551
141	90	547
142	90	544
143	91	541
144	91	537
145	91	534
146	91	531
147	91	528
148	91	525
149	92	522
150	92	519
151	92	516
152	92	513
153	92	510
154	93	507
155	93	504
156	93	502
157	93	499
158	93	496
159	94	493
160	94	490
161	94	488
162	94	485
163	94	483
164	95	480
165	95	478
166	95	475
167	95	473
168	95	471
169	96	468
170	96	466
171	96	463
172	96	461
173	96	459
174	96	456
175	97	454
176	97	452
177	97	450
178	97	448
179	97	445
180	98	443
181	98	441
182	98	439
183	98	437
184	98	435
185	99	433
186	99	431
187	99	429
188	99	427
189	99	425
190	99	423
191	100	421
192	100	419
193	100	417
194	100	415
195	100	413
196	101	411
197	101	409
198	101	408
199	101	406
200	101	404
201	101	402
202	102	400
203	102	399
204	102	397
205	102	395
206	102	394
207	103	392
208	103	390
209	103	388
210	103	387
211	103	386
212	104	384
213	104	383
214	104	381
215	104	379
216	104	378
217	105	376
218	105	375
219	105	373
220	105	372
221	105	370
222	105	369
223	106	367
224	106	366
225	106	364
226	106	363
227	106	361
228	107	360
229	107	359
230	107	357
231	107	356
232	107	354
233	107	353
234	108	352
235	108	350
236	108	349
237	108	348
238	108	346
239	109	345
240	109	344
241	109	342
242	109	341
243	109	340
244	110	339
245	110	337
246	110	336
247	110	335
248	110	334
249	110	332
250	111	331
251	111	330
252	111	329
253	111	328
254	111	326
255	112	325
256	112	324
257	112	323
258	112	322
259	112	321
260	113	320
261	113	318
262	113	317
263	113	316
264	113	315
265	113	314
266	114	313
267	114	312
268	114	311
269	114	310
270	114	309
271	115	307
272	115	306
273	115	305
274	115	304
275	115	303
276	116	302
277	116	301
278	116	300
279	116	299
280	116	298
281	116	297
282	117	296
283	117	295
284	117	294
285	117	293
286	117	292
287	118	291
288	118	290
289	118	289
290	118	289
291	118	288
292	119	287
293	119	286
294	119	285
295	119	284
296	119	283
297	119	282
298	120	281
299	120	280
300	120	279
301	120	279
302	120	278
303	121	277
304	121	276
305	121	275
306	121	274
307	121	273
308	122	273
309	122	272
310	122	271
311	122	270
312	122	269
313	122	268
314	123	267
315	123	266
316	123	266
317	123	265
318	123	264
319	124	263
320	124	262
321	124	262
322	124	261
323	124	260
324	125	259
325	125	258
326	125	258
327	125	257
328	125	256
329	125	255
330	126	254
331	126	254
332	126	253
333	126	252
334	126	251
335	127	251
336	127	250
337	127	249
338	127	248
339	127	248
340	128	247
341	128	246
342	128	245
343	128	245
344	128	244
345	128	243
346	129	242
347	129	242
348	129	241
349	129	240
350	129	240
351	129	239
352	130	238
353	130	237
354	130	237
355	130	236
356	130	235
357	131	235
358	131	234
359	131	233
360	131	233
361	131	232
362	132	231
363	132	231
364	132	230
365	132	229
366	132	229
367	133	228
368	133	227
369	133	227
370	133	226
371	133	225
372	133	225
373	134	224
374	134	223
375	134	223
376	134	222
377	134	221
378	135	221
379	135	220
380	135	220
381	135	219
382	135	219
383	136	218
384	136	217
385	136	217
386	136	216
387	136	215
388	137	215
389	137	214
390	137	214
391	137	213
392	137	212
393	137	212
394	138	211
395	138	210
396	138	210
397	138	209
398	138	209
399	139	208
400	139	208
401	139	207
402	139	206
403	139	206
404	139	205
405	140	205
406	140	204
407	140	203
408	140	203
409	140	202
410	141	202
411	141	201
412	141	201
413	141	200
414	141	199
415	141	199
416	142	198
417	142	198
418	142	197
419	142	197
420	142	196
421	143	195
422	143	195
423	143	194
424	143	194
425	143	193
426	143	193
427	144	192
428	144	192
429	144	191
430	144	190
431	144	190
432	145	189
433	145	189
434	145	188
435	145	188
436	145	187
437	145	187
438	146	186
439	146	186
440	146	185
441	146	185
442	146	184
443	147	184
444	147	183
445	147	183
446	147	182
447	147	182
448	147	181
449	148	181
450	148	180
451	148	180
452	148	179
453	148	179
454	149	178
455	149	178
456	149	177
457	149	177
458	149	176
459	150	176
460	150	175
461	150	175
462	150	174
463	150	174
464	150	173
465	151	173
466	151	172
467	151	172
468	151	171
469	152	171
470	152	170
471	152	170
472	152	169
473	152	169
474	152	169
475	153	168
476	153	168
477	153	167
478	153	167
479	153	166
480	153	166
481	154	165
482	154	165
483	154	164
484	154	164
485	154	163
486	155	163
487	155	162
488	155	162
489	155	161
490	155	161
491	156	161
492	156	160
493	156	160
494	156	159
495	156	159
496	156	158
497	157	158
498	157	157
499	157	157
500	157	157
501	157	156
502	158	156
503	158	155
504	158	155
505	158	154
506	158	154
507	158	153
508	159	153
509	159	153
510	159	152
511	159	152
512	159	151
513	160	151
514	160	150
515	160	150
516	160	150
517	160	149
518	160	149
519	161	148
520	161	148
521	161	147
522	161	147
523	161	147
524	162	146
525	162	146
526	162	145
527	162	145
528	162	144
529	162	144
530	163	144
531	163	143
532	163	143
533	163	142
534	163	142
535	164	141
536	164	141
537	164	141
538	164	140
539	164	140
540	164	139
541	165	139
542	165	139
543	165	138
544	165	138
545	165	137
546	166	137
547	166	137
548	166	136
549	166	136
550	166	135
551	166	135
552	167	135
553	167	134
554	167	134
555	167	134
556	168	133
557	168	133
558	168	132
559	168	132
560	168	132
561	168	131
562	169	131
563	169	130
564	169	130
565	169	130
566	169	129
567	170	129
568	170	128
569	170	128
570	170	128
571	170	127
572	171	127
573	171	127
574	171	126
575	171	126
576	171	125
577	171	125
578	172	125
579	172	124
580	172	124
581	172	124
582	172	123
583	173	123
584	173	122
585	173	122
586	173	122
587	173	121
588	174	121
589	174	121
590	174	120
591	174	120
592	174	119
593	174	119
594	175	119
595	175	118
596	175	118
597	175	118
598	175	117
599	176	117
600	176	117
601	176	116
602	176	116
603	176	115
604	176	115
605	177	115
606	177	114
607	177	114
608	177	114
609	178	113
610	178	113
611	178	113
612	178	112
613	178	112
614	179	112
615	179	111
616	179	111
617	179	111
618	179	110
619	180	110
620	180	109
621	180	109
622	180	109
623	180	108
624	180	108
625	181	108
626	181	107
627	181	107
628	181	107
629	181	106
630	182	106
631	182	106
632	182	105
633	182	105
634	182	105
635	182	104
636	183	104
637	183	104
638	183	103
639	183	103
640	183	103
641	184	102
642	184	102
643	184	101
644	184	101
645	184	101
646	185	100
647	185	100
648	185	100
649	185	99
650	185	99
651	185	99
652	186	98
653	186	98
654	186	98
655	186	97
656	186	97
657	187	97
658	187	96
659	187	96
660	187	96
661	187	95
662	187	95
663	188	95
664	188	94
665	188	94
666	188	94
667	188	93
668	189	93
669	189	93
670	189	92
671	189	92
672	189	92
673	189	91
674	190	91
675	190	91
676	190	90
677	190	90
678	191	90
679	191	90
680	191	89
681	191	89
682	192	89
683	192	88
684	192	88
685	192	88
686	193	88
687	193	87
688	193	87
689	193	87
690	193	86
691	194	86
692	194	86
693	194	85
694	194	85
695	194	85
696	194	84
697	195	84
698	195	84
699	195	83
700	195	83
701	195	83
702	196	82
703	196	82
704	196	82
705	196	81
706	196	81
707	197	81
708	197	80
709	197	80
710	197	80
711	197	79
712	197	79
713	198	79
714	198	79
715	198	78
716	198	78
717	199	78
718	199	77
719	199	77
720	199	77
721	199	76
722	199	76
723	200	76
724	200	75
725	200	75
726	200	75
727	200	75
728	201	74
729	201	74
730	201	74
731	201	73
732	201	73
733	202	73
734	202	72
735	202	72
736	202	72
737	202	72
738	203	71
739	203	71
740	203	71
741	203	70
742	203	70
743	203	70
744	204	69
745	204	69
746	204	69
747	204	68
748	204	68
749	204	68
750	205	68
751	205	67
752	205	67
753	205	67
754	205	66
755	206	66
756	206	66
757	206	65
758	206	65
759	206	65
760	206	64
761	207	64
762	207	64
763	207	64
764	207	63
765	207	63
766	208	63
767	208	62
768	208	62
769	208	62
770	208	62
771	208	61
772	209	61
773	209	61
774	209	60
775	209	60
776	209	60
777	210	59
778	210	59
779	210	59
780	210	59
781	210	58
782	210	58
783	211	58
784	211	57
785	211	57
786	211	57
787	211	57
788	212	56
789	212	56
790	212	56
791	212	55
792	212	55
793	212	55
794	213	54
795	213	54
796	213	54
797	213	54
798	213	53
799	214	53
800	214	53
801	214	52
802	214	52
803	214	52
804	215	52
805	215	51
806	215	51
807	215	51
808	215	50
809	216	50
810	216	50
811	216	50
812	216	49
813	216	49
814	216	49
815	217	48
816	217	48
817	217	48
818	217	48
819	217	47
820	218	47
821	218	47
822	218	46
823	218	46
824	218	46
825	218	46
826	219	45
827	219	45
828	219	45
829	219	45
830	219	44
831	220	44
832	220	44
833	220	43
834	220	43
835	220	43
836	220	43
837	221	42
838	221	42
839	221	42
840	221	41
841	221	41
842	222	41
843	222	41
844	222	40
845	222	40
846	222	40
847	223	39
848	223	39
849	223	39
850	223	39
851	223	38
852	224	38
853	224	38
854	224	38
855	224	37
856	224	37
857	224	37
858	225	36
859	225	36
860	225	36
861	225	36
862	225	35
863	226	35
864	226	35
865	226	35
866	226	34
867	226	34
868	226	34
869	227	33
870	227	33
871	227	33
872	227	33
873	227	32
874	228	32
875	228	32
876	228	32
877	228	31
878	228	31
879	228	31
880	229	30
881	229	30
882	229	30
883	229	30
884	229	29
885	230	29
886	230	29
887	230	29
888	230	28
889	231	28
890	231	28
891	231	28
892	231	27
893	231	27
894	231	27
895	232	26
896	232	26
897	232	26
898	232	26
899	232	25
900	233	25
901	233	25
902	233	25
903	233	24
904	233	24
905	233	24
906	234	24
907	234	23
908	234	23
909	234	23
910	234	22
911	235	22
912	235	22
913	235	22
914	235	21
915	235	21
916	235	21
917	236	21
918	236	20
919	236	20
920	236	20
921	236	20
922	237	19
923	237	19
924	237	19
925	237	18
926	237	18
927	238	18
928	238	18
929	238	17
930	238	17
931	238	17
932	238	17
933	239	16
934	239	16
935	239	16
936	239	16
937	239	15
938	240	15
939	240	15
940	240	15
941	240	14
942	240	14
943	240	14
944	241	14
945	241	13
946	241	13
947	241	13
948	241	12
949	242	12
950	242	12
951	242	12
952	242	11
953	242	11
954	243	11
955	243	11
956	243	10
957	243	10
958	243	10
959	243	10
960	244	9
961	244	9
962	244	9
963	244	9
964	244	8
965	245	8
966	245	8
967	245	8
968	245	7
969	245	7
970	246	7
971	246	7
972	246	6
973	246	6
974	246	6
975	247	6
976	247	5
977	247	5
978	247	5
979	247	5
980	247	4
981	248	4
982	248	4
983	248	4
984	248	3
985	248	3
986	248	3
987	249	3
988	249	2
989	249	2
990	249	2
991	249	2
992	250	1
993	250	1
994	250	1
995	250	1
996	250	0
997	251	0
998	251	0
999	251	0
